Annual Subway Ridership,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2018,2019,2020,2021,2022,2023,2022-2023 Change,,2023 Rank
Zerega Av (6),,Bx,792928,795756,361498.964,401426,482341,#NAME?,22384,4.64070025148184%,#NAME?
Brooklyn,,,,,,,,,,,
"15 St-Prospect Park (F,G)",,B,1867619,1964534,681491.917,861654,1195846,#NAME?,#NAME?,#NAME?,#NAME?
18 Av (D),,B,1909554,1942617,851720.018,953937,1245222,#NAME?,#NAME?,#NAME?,#NAME?
18 Av (F),,B,1163390,1113492,503135.889,556981,668159,#NAME?,#NAME?,#NAME?,#NAME?
18 Av (N),9,B,981261,1179756,677763.974,895072,1085017,#NAME?,#NAME?,#NAME?,#NAME?
20 Av (D),,B,1534396,1578971,703956.992,780372,1032840,#NAME?,#NAME?,#NAME?,#NAME?
20 Av (N),10,B,1075077,1142086,486217.957,627481,833636,#NAME?,#NAME?,#NAME?,#NAME?
25 Av (D),,B,1571134,1507759,609449.957,671478,870160,#NAME?,#NAME?,#NAME?,#NAME?
25 St (R),,B,1149469,1153842,504579.063,632081,758500,#NAME?,#NAME?,#NAME?,#NAME?
"36 St (D,N,R)",,B,4293364,4254406,1924520.059,2410423,3189981,#NAME?,#NAME?,#NAME?,#NAME?
"4 Av (F,G)/9 St (R)",,B,3906028,3924882,1531707.955,1946762,2559111,#NAME?,#NAME?,#NAME?,#NAME?
45 St (R),,B,2251921,2461410,1081234,1357398,1610445,#NAME?,#NAME?,#NAME?,#NAME?
50 St (D),,B,965643,976988,521943.967,589552,718744,#NAME?,#NAME?,#NAME?,#NAME?
53 St (R),,B,2378056,2797730,1368019.009,1603169,1869707,#NAME?,#NAME?,#NAME?,#NAME?
55 St (D),,B,650590,637405,330042.983,363734,406691,#NAME?,#NAME?,#NAME?,#NAME?
"59 St (N,R)",,B,3998207,3664480,1631566.015,2190023,2640485,#NAME?,#NAME?,#NAME?,#NAME?
"7 Av (B,Q)",,B,3126475,3103599,1007948.059,1382641,1896094,#NAME?,#NAME?,#NAME?,#NAME?
"7 Av (F,G)",,B,3572223,3675218,1314989.083,1694473,2374719,#NAME?,#NAME?,#NAME?,#NAME?
71 St (D),,B,1746966,1722921,721710.987,788730,1016652,#NAME?,#NAME?,#NAME?,#NAME?
77 St (R),,B,1676402,1674582,700333.001,839021,1021447,#NAME?,#NAME?,#NAME?,#NAME?
79 St (D),,B,1901043,1926290,816330.077,964785,1254702,#NAME?,#NAME?,#NAME?,#NAME?
8 Av (N),,B,3700661,3801700,1424892.082,1771913,2314853,#NAME?,#NAME?,#NAME?,#NAME?
86 St. (N),11,B,609555,708542,365213.007,442826,531019,#NAME?,#NAME?,#NAME?,#NAME?
86 St. (R),,B,3470741,3434888,1538353.039,1869595,2269098,#NAME?,#NAME?,#NAME?,#NAME?
9 Av (D),,B,1667200,1708387,807970.057,926924,1201915,#NAME?,#NAME?,#NAME?,#NAME?
Alabama Av (J),,B,652030,628299,337010.998,367463,365853,#NAME?,#NAME?,#NAME?,#NAME?
Atlantic Av (L),,B,559411,469819,228515.055,273703,332637,#NAME?,#NAME?,#NAME?,#NAME?
"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",,B,13807282,13939794,5474264.99,6420924,8482075,#NAME?,#NAME?,#NAME?,#NAME?
Avenue H (Q),,B,1034018,991766,395439.035,420875,603679,#NAME?,#NAME?,#NAME?,#NAME?
Avenue I (F),12,B,326005,584129,262583.064,286430,352714,#NAME?,#NAME?,#NAME?,#NAME?
Avenue J (Q),,B,1878547,1775846,799621.029,973093,1119574,#NAME?,#NAME?,#NAME?,#NAME?
Avenue M (Q),,B,1808189,1691285,763257.968,956834,1135367,#NAME?,#NAME?,#NAME?,#NAME?
Avenue N (F),13,B,612201,877383,393182.99,416424,522722,#NAME?,#NAME?,#NAME?,#NAME?
Avenue P (F),14,B,509036,739804,333835.975,361909,468588,#NAME?,#NAME?,#NAME?,#NAME?
Avenue U (F),15,B,310821,547776,248310.004,268720,334808,#NAME?,#NAME?,#NAME?,#NAME?
Avenue U (N),16,B,830278,1019104,503936.943,659430,788389,#NAME?,#NAME?,#NAME?,#NAME?
Avenue U (Q),,B,2329614,2301941,979079.968,1194190,1422746,#NAME?,#NAME?,#NAME?,#NAME?
Avenue X (F),,B,775436,758700,334714.032,345053,442124,#NAME?,#NAME?,#NAME?,#NAME?
Bay 50 St (D),,B,826074,821873,351591.024,431849,563601,#NAME?,#NAME?,#NAME?,#NAME?
Bay Pkwy (D),,B,2435949,2446673,1086572.973,1198845,1562104,#NAME?,#NAME?,#NAME?,#NAME?
Bay Pkwy (F),17,B,188225,362802,167876.932,186383,240275,#NAME?,#NAME?,#NAME?,#NAME?
Bay Pkwy (N),,B,2266916,2071452,940308.95,1204285,1481407,#NAME?,#NAME?,#NAME?,#NAME?
Bay Ridge Av (R),,B,2228497,2354120,1023374.057,1248115,1520403,#NAME?,#NAME?,#NAME?,#NAME?
Bay Ridge-95 St (R),,B,1739178,1743441,740054.954,840527,1020739,#NAME?,#NAME?,#NAME?,#NAME?
Bedford Av (L),,B,9053980,7836366,2873797.965,4989268,7255571,#NAME?,#NAME?,#NAME?,#NAME?
Bedford-Nostrand Avs (G),,B,2774993,2795387,1062723.917,1400855,1810693,#NAME?,#NAME?,#NAME?,#NAME?
"Bergen St (2,3)",,B,1140677,1208319,435520.008,525186,775145,#NAME?,#NAME?,#NAME?,#NAME?
"Bergen St (F,G)",,B,3478946,3577496,1240353.902,1602668,2285452,#NAME?,#NAME?,#NAME?,#NAME?
Beverley Rd (Q),,B,1060568,1048249,453974.011,567370,747264,#NAME?,#NAME?,#NAME?,#NAME?
"Beverly Rd (2,5)",,B,1307405,1284232,607427.003,690326,867812,#NAME?,#NAME?,#NAME?,#NAME?
"Brighton Beach (B,Q)",,B,3778194,3745994,1683782.021,1947393,2283378,#NAME?,#NAME?,#NAME?,#NAME?
Broadway (G),,B,1402102,1506905,728237.974,868771,995482,#NAME?,#NAME?,#NAME?,#NAME?
"Broadway Junction (A,C,J,L,Z)",,B,2810636,2759349,1292867.911,1317906,1445460,#NAME?,#NAME?,#NAME?,#NAME?
Bushwick Av-Aberdeen St (L),,B,671545,600188,298031.052,418114,517348,#NAME?,#NAME?,#NAME?,#NAME?
Canarsie-Rockaway Pkwy (L),,B,3598843,3302691,1306172.95,1062745,1091454,#NAME?,#NAME?,#NAME?,#NAME?
"Carroll St (F,G)",,B,3490924,3615019,1261244.911,1605517,2241074,#NAME?,#NAME?,#NAME?,#NAME?
Central Av (M),18,B,725022,1472067,591080.969,613375,797703,#NAME?,#NAME?,#NAME?,#NAME?
"Chauncey St (J,Z)",,B,1063828,1076510,479409.037,526390,569841,#NAME?,#NAME?,#NAME?,#NAME?
"Church Av (2,5)",,B,2818535,2862033,1335645.018,1537560,1844979,#NAME?,#NAME?,#NAME?,#NAME?
"Church Av (B,Q)",,B,5161293,5061013,2181584.949,2569628,3024750,#NAME?,#NAME?,#NAME?,#NAME?
"Church Av (F,G)",19,B,3099383,3051736,1368062.985,1579762,1917284,#NAME?,#NAME?,#NAME?,#NAME?
"Clark St (2,3)",,B,1550414,1781419,589681.942,667841,845791,#NAME?,#NAME?,#NAME?,#NAME?
